State,4761865,Density,Latitude,Longitude
Carlow,56932,0.01195581983109559,52.690536,-6.8250189
Dublin,1347359,0.28294775261373434,53.3497645,-6.2602732
Kildare,222504,0.04672623016402187,53.1543645,-6.8184176
Kilkenny,99232,0.02083889400476494,52.6510216,-7.2484948
Laois,84697,0.01778651851742962,52.9984904,-7.3777002
Longford,40873,0.008583401671403956,53.7278,-7.7963816
Louth,128884,0.0270658659999811,53.9062848,-6.5320502
Meath,195044,0.04095958201250981,53.6497843,-6.5885295
Offaly,77961,0.016371946705754994,53.1332352,-7.8975682
Westmeath,88770,0.018641855659494756,53.5577902,-7.3478558
Wexford,149722,0.031441882539719204,52.4601874,-6.6065155
Wicklow,142425,0.029909499744322866,52.9581467,-6.3819707
Clare,118817,0.0249517783473492,52.8572574,-8.9374359
Cork,542868,0.1140032319269866,51.8979282,-8.4705806
Kerry,147707,0.0310187290063872,52.1453345,-9.5174011
Limerick,194899,0.04092913175825018,52.661252,-8.6301239
Tipperary,159553,0.03350640977852165,52.6847743,-7.8980804
Waterford,116176,0.024397163716317033,52.2609997,-7.1119081
Galway,258058,0.05419263250848145,53.2744122,-9.0490632
Leitrim,32044,0.0067292961896231835,54.1401622,-8.0524782
Mayo,130507,0.027406698845935364,53.9087056,-9.2983049
Roscommon,64544,0.013554353178849043,53.6982695,-8.2182508
Sligo,65535,0.013762464916582054,54.2705151,-8.4737192
Cavan,76176,0.01599709357573136,54.0349749,-7.2937023
Donegal,159192,0.033430599145502865,54.9207542,-7.9523852
Monaghan,61386,0.012891167641249805,54.1610664,-6.9463648
